Official Name,Version,Source,License,Task,Available annotations,Video count,Image count,Approximate storage,Official website,Official paper,GitHub repository
Ai Smart Restaurant,1.0,Unknown,Unknown,Object Detection/Tracking,Unknown,0,5244,640006451,N/A,N/A,N/A
Roboflow,1.0,Unknown,Unknown,Object Detection/Tracking,Unknown,0,0,1353,N/A,N/A,N/A
Virat,1.0,Unknown,Unknown,Object Detection/Tracking,Unknown,0,0,1023698533,N/A,N/A,N/A
Personpath22,1.0,Unknown,Unknown,Object Detection/Tracking,Unknown,0,0,4534630598,N/A,N/A,N/A
